,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
638,17.0,4.0,219.0,22.0
639,17.0,4.0,75.0,22.0
640,17.0,4.0,219.0,23.0
641,17.0,4.0,75.0,23.0
642,22.0,4.0,415.0,61.0
643,22.0,4.0,394.0,61.0
644,22.0,4.0,393.0,61.0
645,22.0,4.0,416.0,61.0
646,22.0,4.0,393.0,61.0
647,22.0,4.0,415.0,22.0
648,22.0,4.0,394.0,22.0
649,22.0,4.0,393.0,22.0
650,22.0,4.0,416.0,22.0
651,22.0,4.0,393.0,22.0
652,22.0,4.0,41.0,40.0
653,22.0,4.0,253.0,40.0
654,22.0,4.0,41.0,40.0
655,22.0,4.0,41.0,10.0
656,22.0,4.0,253.0,10.0
657,22.0,4.0,41.0,10.0
658,22.0,4.0,41.0,11.0
659,22.0,4.0,253.0,11.0
660,22.0,4.0,41.0,11.0
661,22.0,4.0,41.0,61.0
662,22.0,4.0,253.0,61.0
663,22.0,4.0,41.0,61.0
664,22.0,4.0,41.0,13.0
665,22.0,4.0,253.0,13.0
666,22.0,4.0,41.0,13.0
667,22.0,4.0,41.0,22.0
668,22.0,4.0,253.0,22.0
669,22.0,4.0,41.0,22.0
670,22.0,4.0,41.0,62.0
671,22.0,4.0,253.0,62.0
672,22.0,4.0,41.0,62.0
673,22.0,4.0,41.0,40.0
674,22.0,4.0,253.0,40.0
675,22.0,4.0,41.0,40.0
676,22.0,4.0,41.0,10.0
677,22.0,4.0,253.0,10.0
678,22.0,4.0,41.0,10.0
679,22.0,4.0,41.0,11.0
680,22.0,4.0,253.0,11.0
681,22.0,4.0,41.0,11.0
682,22.0,4.0,41.0,61.0
683,22.0,4.0,253.0,61.0
684,22.0,4.0,41.0,61.0
685,22.0,4.0,41.0,13.0
686,22.0,4.0,253.0,13.0
687,22.0,4.0,41.0,13.0
688,22.0,4.0,41.0,22.0
689,22.0,4.0,253.0,22.0
690,22.0,4.0,41.0,22.0
691,22.0,4.0,41.0,62.0
692,22.0,4.0,253.0,62.0
693,22.0,4.0,41.0,62.0
694,22.0,4.0,41.0,40.0
695,22.0,4.0,253.0,40.0
696,22.0,4.0,41.0,40.0
697,22.0,4.0,41.0,10.0
698,22.0,4.0,253.0,10.0
699,22.0,4.0,41.0,10.0
700,22.0,4.0,41.0,11.0
701,22.0,4.0,253.0,11.0
702,22.0,4.0,41.0,11.0
703,22.0,4.0,41.0,61.0
704,22.0,4.0,253.0,61.0
705,22.0,4.0,41.0,61.0
706,22.0,4.0,41.0,13.0
707,22.0,4.0,253.0,13.0
708,22.0,4.0,41.0,13.0
709,22.0,4.0,41.0,22.0
710,22.0,4.0,253.0,22.0
711,22.0,4.0,41.0,22.0
712,22.0,4.0,41.0,62.0
713,22.0,4.0,253.0,62.0
714,22.0,4.0,41.0,62.0
715,3.0,4.0,303.0,20.0
716,3.0,4.0,303.0,20.0
717,3.0,4.0,303.0,20.0
718,3.0,4.0,361.0,71.0
719,3.0,4.0,309.0,71.0
720,3.0,4.0,305.0,71.0
721,3.0,4.0,361.0,40.0
722,3.0,4.0,309.0,40.0
723,3.0,4.0,305.0,40.0
724,3.0,4.0,361.0,61.0
725,3.0,4.0,309.0,61.0
726,3.0,4.0,305.0,61.0
727,3.0,4.0,361.0,13.0
728,3.0,4.0,309.0,13.0
729,3.0,4.0,305.0,13.0
730,3.0,4.0,361.0,22.0
731,3.0,4.0,309.0,22.0
732,3.0,4.0,305.0,22.0
733,3.0,4.0,361.0,62.0
734,3.0,4.0,309.0,62.0
735,3.0,4.0,305.0,62.0
736,3.0,4.0,361.0,71.0
737,3.0,4.0,309.0,71.0
738,3.0,4.0,305.0,71.0
739,3.0,4.0,361.0,40.0
740,3.0,4.0,309.0,40.0
741,3.0,4.0,305.0,40.0
742,3.0,4.0,361.0,61.0
743,3.0,4.0,309.0,61.0
744,3.0,4.0,305.0,61.0
745,3.0,4.0,361.0,13.0
746,3.0,4.0,309.0,13.0
747,3.0,4.0,305.0,13.0
748,3.0,4.0,361.0,22.0
749,3.0,4.0,309.0,22.0
750,3.0,4.0,305.0,22.0
751,3.0,4.0,361.0,62.0
752,3.0,4.0,309.0,62.0
753,3.0,4.0,305.0,62.0
754,3.0,4.0,361.0,71.0
755,3.0,4.0,309.0,71.0
756,3.0,4.0,305.0,71.0
757,3.0,4.0,361.0,40.0
758,3.0,4.0,309.0,40.0
759,3.0,4.0,305.0,40.0
760,3.0,4.0,361.0,61.0
761,3.0,4.0,309.0,61.0
762,3.0,4.0,305.0,61.0
763,3.0,4.0,361.0,13.0
764,3.0,4.0,309.0,13.0
765,3.0,4.0,305.0,13.0
766,3.0,4.0,361.0,22.0
767,3.0,4.0,309.0,22.0
